"V1" "V2" "V3" "V4"
"266" 80 10 2 1
"267" 96 12 2 1
"268" 36 4 2 1
"269" 54 6 3 1
"270" 72 8 4 1
"271" 90 10 5 1
"272" 54 6 2 1
"273" 81 9 3 1
"274" 72 8 2 1
"275" 90 10 2 1
"276" 40 4 2 1
"277" 60 6 3 1
"278" 80 8 4 1
"279" 60 6 2 1
"280" 90 9 3 1
"281" 80 8 2 1
"282" 44 4 2 1
"283" 66 6 3 1
"284" 88 8 4 1
"285" 66 6 2 1
"286" 99 9 3 1
"287" 88 8 2 1
"288" 48 4 2 1
"289" 72 6 3 1
"290" 96 8 4 1
"291" 72 6 2 1
"292" 96 8 2 1
"293" 52 4 2 1
"294" 78 6 3 1
"295" 78 6 2 1
"296" 56 4 2 1
"297" 84 6 3 1
"298" 84 6 2 1
"299" 60 4 2 1
"300" 90 6 3 1
"301" 90 6 2 1
"302" 64 4 2 1
"303" 96 6 3 1
"304" 96 6 2 1
"305" 68 4 2 1
"306" 72 4 2 1
"307" 76 4 2 1
"308" 80 4 2 1
"309" 84 4 2 1
"310" 88 4 2 1
"311" 92 4 2 1
"312" 96 4 2 1
